x,luma
1.977564E-1,2.799274E1
1.976827E-1,2.746999E1
1.976090E-1,2.756194E1
1.975353E-1,2.859516E1
1.974617E-1,3.064987E1
1.973880E-1,3.356869E1
1.973143E-1,3.640795E1
1.972406E-1,3.674206E1
1.971670E-1,3.529670E1
1.970933E-1,3.566750E1
1.970196E-1,3.612866E1
1.969459E-1,3.650997E1
1.968723E-1,3.647751E1
1.967986E-1,3.624426E1
1.967249E-1,3.636952E1
1.966512E-1,3.640538E1
1.965775E-1,3.655003E1
1.965039E-1,3.763766E1
1.964302E-1,3.879678E1
1.963565E-1,3.888156E1
1.962828E-1,3.851720E1
1.962092E-1,3.827437E1
1.961355E-1,3.753584E1
1.960618E-1,3.571105E1
1.959881E-1,3.381733E1
1.959145E-1,3.263582E1
1.958408E-1,3.266381E1
1.957671E-1,3.358379E1
1.956934E-1,3.440137E1
1.956198E-1,3.528523E1
1.955461E-1,3.624514E1
1.954724E-1,3.707489E1
1.953987E-1,3.757201E1
1.953250E-1,3.709535E1
1.952514E-1,3.681685E1
1.951777E-1,3.659582E1
1.951040E-1,3.630633E1
1.950303E-1,3.597147E1
1.949567E-1,3.590310E1
1.948830E-1,3.575307E1
1.948093E-1,3.513458E1
1.947356E-1,3.495269E1
1.946620E-1,3.396768E1
1.945883E-1,3.283012E1
1.945146E-1,3.262060E1
1.944409E-1,3.186581E1
1.943672E-1,3.156242E1
1.942936E-1,3.181179E1
1.942199E-1,3.059246E1
1.941462E-1,2.956279E1
1.940725E-1,2.812470E1
1.939989E-1,2.743483E1
1.939252E-1,2.761185E1
1.938515E-1,2.774939E1
1.937778E-1,2.823349E1
1.937042E-1,2.909764E1
1.936305E-1,2.957839E1
1.935568E-1,3.030626E1
1.934831E-1,3.092630E1
1.934095E-1,3.150833E1
1.933358E-1,2.996544E1
1.932621E-1,2.793318E1
1.931884E-1,2.747215E1
1.931147E-1,2.621689E1
1.930411E-1,2.612136E1
1.929674E-1,2.732369E1
1.928937E-1,2.804213E1
1.928200E-1,2.863911E1
1.927464E-1,3.004094E1
1.926727E-1,3.181197E1
1.925990E-1,3.264002E1
1.925253E-1,3.209665E1
1.924517E-1,3.135125E1
1.923780E-1,3.129454E1
1.923043E-1,3.097509E1
1.922306E-1,3.048723E1
1.921569E-1,3.044550E1
1.920833E-1,3.122091E1
1.920096E-1,3.223882E1
1.919359E-1,3.312784E1
1.918622E-1,3.381168E1
1.917886E-1,3.415381E1
1.917149E-1,3.416961E1
1.916412E-1,3.472757E1
1.915675E-1,3.610171E1
1.914939E-1,3.711261E1
1.914202E-1,3.694469E1
1.913465E-1,3.680355E1
1.912728E-1,3.800993E1
1.911991E-1,3.959697E1
1.911255E-1,4.090206E1
1.910518E-1,4.144520E1
1.909781E-1,4.146940E1
1.909044E-1,4.159549E1
1.908308E-1,4.188979E1
1.907571E-1,4.191448E1
1.906834E-1,4.197212E1
1.906097E-1,4.230959E1
1.905361E-1,4.197081E1
1.904624E-1,4.097532E1
1.903887E-1,3.981204E1
1.903150E-1,3.999935E1
1.902414E-1,4.172542E1
1.901677E-1,4.328108E1
1.900940E-1,4.408567E1
1.900203E-1,4.478761E1
1.899466E-1,4.548215E1
1.898730E-1,4.538946E1
1.897993E-1,4.412912E1
1.897256E-1,4.258448E1
1.896519E-1,4.183844E1
1.895783E-1,4.180753E1
1.895046E-1,4.173760E1
1.894309E-1,4.160048E1
1.893572E-1,4.202639E1
1.892836E-1,4.262064E1
1.892099E-1,4.277237E1
1.891362E-1,4.265833E1
1.890625E-1,4.259613E1
1.889888E-1,4.262071E1
1.889152E-1,4.272770E1
1.888415E-1,4.221512E1
1.887678E-1,3.944046E1
1.886941E-1,3.502774E1
1.886205E-1,3.138535E1
1.885468E-1,3.032416E1
1.884731E-1,3.105602E1
1.883994E-1,3.331788E1
1.883258E-1,3.642079E1
1.882521E-1,3.720922E1
1.881784E-1,3.699161E1
1.881047E-1,3.673297E1
1.880311E-1,3.635435E1
1.879574E-1,3.485182E1
1.878837E-1,3.357932E1
1.878100E-1,3.287423E1
1.877363E-1,3.241320E1
1.876627E-1,3.248302E1
1.875890E-1,3.228063E1
1.875153E-1,3.223297E1
1.874416E-1,3.225079E1
1.873680E-1,3.220414E1
1.872943E-1,3.188741E1
